bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
160,26.5,0,27,-27,1,27,1,53,0,0,0,0,0,0,0,0,0,0,0,27
170,121,0,330.75,-330.75,1,100,1,242,0,0,0,0,0,0,0,0,0,0,0,367.5
171,587.085,0,518,-518,1,100,1,1036,138.17,0,0,0,0,0,0,0,0,0,0,1108.425
172,127.5,0,194.4,-194.4,1,100,1,255,0,0,0,0,0,0,0,0,0,0,0,270
175,105.5,0,205.2,-205.2,1,100,1,211,0,0,0,0,0,0,0,0,0,0,0,285
176,199.5,0,205.2,-205.2,1,100,1,399,0,0,0,0,0,0,0,0,0,0,0,285
177,278,0,278,-278,1,100,1,556,0,0,0,0,0,0,0,0,0,0,0,285
178,152,0,349.65,-349.65,1,100,1,304,0,0,0,0,0,0,0,0,0,0,0,388.5
180,251,0,389.11,-389.11,1,100,1,502,0,0,0,0,0,0,0,0,0,0,0,432.348
181,204,0,389.11,-389.11,1,100,1,408,0,0,0,0,0,0,0,0,0,0,0,432.347
183,206,0,364.53,-364.53,1,100,1,412,0,0,0,0,0,0,0,0,0,0,0,405.03
184,178,0,364.49,-364.49,1,100,1,356,0,0,0,0,0,0,0,0,0,0,0,404.985
185,125.5,0,364.55,-364.55,1,100,1,251,0,0,0,0,0,0,0,0,0,0,0,405.051
186,121.5,0,364.53,-364.53,1,100,1,243,0,0,0,0,0,0,0,0,0,0,0,405.028
188,336,0,360.05,-360.05,1,100,1,672,0,0,0,0,0,0,0,0,0,0,0,400.05
189,200.5,0,360.05,-360.05,1,100,1,401,0,0,0,0,0,0,0,0,0,0,0,400.05
190,157.5,0,359.91,-359.91,1,100,1,315,0,0,0,0,0,0,0,0,0,0,0,399.9
192,265.5,0,346.95,-346.95,1,100,1,531,0,0,0,0,0,0,0,0,0,0,0,385.5
193,137.5,0,346.95,-346.95,1,100,1,275,0,0,0,0,0,0,0,0,0,0,0,385.5
194,131.5,0,367.96,-367.96,1,100,1,263,0,0,0,0,0,0,0,0,0,0,0,408.848
197,455.6,0,316,-316,1,100,1,632,279.2,0,0,0,0,0,0,0,0,0,0,776.819
198,683.315,0,538,-538,1,100,1,1076,290.63,0,0,0,0,0,0,0,0,0,0,871.884
203,323.8425,0,273,-273,1,100,1,546,101.685,0,0,0,0,0,0,0,0,0,0,917.82
204,0,0,33.33,-33.33,1,100,0,51,0,0,0,0,0,0,0,0,0,0,0,285
204,0,0,40,-40,1,100,0,79,0,0,0,0,0,0,0,0,0,0,0,263
205,0,0,33.33,-33.33,1,100,0,62,0,0,0,0,0,0,0,0,0,0,0,256
205,0,0,418,-418,1,100,0,836,0,0,0,0,0,0,0,0,0,0,0,292
206,1286.4525,0,945,-945,1,100,1,1890,682.905,0,0,0,0,0,0,0,0,0,0,1966.771
211,0,0,89,-89,1,100,0,177,0,0,0,0,0,0,0,0,0,0,0,269
211,0,0,33.33,-33.33,1,100,0,19,0,0,0,0,0,0,0,0,0,0,0,269
220,0,0,39,-39,1,100,0,77,40.46,0,0,0,0,0,0,0,0,0,0,95.919
228,431.09,0,347,-347,1,100,1,694,168.18,0,0,0,0,0,0,0,0,0,0,451.68
229,899.12,0,839,-839,1,100,1,1677,121.24,0,0,0,0,0,0,0,0,0,0,363.72
230,509.1425,0,457,-457,1,100,1,913,105.285,0,0,0,0,0,0,0,0,0,0,287.547
246,0,0,33.33,-33.33,1,100,0,35,0,0,0,0,0,0,0,0,0,0,0,256
247,0,0,341,-341,1,100,0,681,0,0,0,0,0,0,0,0,0,0,0,251
258,99.5,0,182.25,-182.25,1,100,1,199,0,0,0,0,0,0,0,0,0,0,0,253.125
259,236,0,236,-236,1,100,1,472,0,0,0,0,0,0,0,0,0,0,0,253.125
260,111,0,182.25,-182.25,1,100,1,222,0,0,0,0,0,0,0,0,0,0,0,253.125
262,341.5,0,370.95,-370.95,1,100,1,683,0,0,0,0,0,0,0,0,0,0,0,412.164
307,229,0,377.23,-377.23,1,100,1,458,0,0,0,0,0,0,0,0,0,0,0,419.147
316,47.0475,0,46,-46,1,100,1,91,3.095,0,0,0,0,0,0,0,0,0,0,32.912
319,69.1825,62.5,193,-68,1,100,1,136,2.365,0,0,0,0,0,0,0,0,0,0,43.567
321,34,0,34,-34,1,100,1,68,0,0,0,0,0,0,0,0,0,0,0,46.875
323,62.5,0,63,-63,1,100,1,125,0,0,0,0,0,0,0,0,0,0,0,46.875
324,64.3,67.5,189,-54,1,100,1,108,20.6,0,0,0,0,0,0,0,0,0,0,64.438
326,24,0,31.05,-31.05,1,100,1,48,0,0,0,0,0,0,0,0,0,0,0,43.125
327,25,0,31.05,-31.05,1,100,1,50,0,0,0,0,0,0,0,0,0,0,0,43.125
330,27,0,49.95,-49.95,1,100,1,54,0,0,0,0,0,0,0,0,0,0,0,69.375
334,9,0,13.5,-13.5,1,100,1,18,0,0,0,0,0,0,0,0,0,0,0,18.75
335,11.5,0,13.5,-13.5,1,100,1,23,0,0,0,0,0,0,0,0,0,0,0,18.75
336,7,0,13.5,-13.5,1,100,1,14,0,0,0,0,0,0,0,0,0,0,0,18.75
340,37.5,0,63.18,-63.18,1,100,1,75,0,0,0,0,0,0,0,0,0,0,0,87.771
342,18.5,0,24.37,-24.37,1,100,1,37,0,0,0,0,0,0,0,0,0,0,0,33.85
345,0,0,33.33,-33.33,1,100,0,12,9.865,0,0,0,0,0,0,0,0,0,0,34.725
346,111.585,0,109,-109,1,100,1,217,6.17,0,0,0,0,0,0,0,0,0,0,34.714
348,88.49,0,77,-77,1,100,1,153,23.98,0,0,0,0,0,0,0,0,0,0,76.887
353,44.185,0,44,-44,1,100,1,87,1.37,0,0,0,0,0,0,0,0,0,0,43.626
355,0,0,102,-102,1,100,0,204,40.285,0,0,0,0,0,0,0,0,0,0,95.575
359,187.78,12,196,-172,1,100,1,343,32.56,0,0,0,0,0,0,0,0,0,0,93.142
370,0,0,33.33,-33.33,1,100,0,13,10.025,0,0,0,0,0,0,0,0,0,0,35.048
376,27,0,33.75,-33.75,1,100,1,54,0,0,0,0,0,0,0,0,0,0,0,46.875
384,19.5,0,20.25,-20.25,1,100,1,39,0,0,0,0,0,0,0,0,0,0,0,28.125
387,59.2325,0,53,-53,1,100,1,105,13.465,0,0,0,0,0,0,0,0,0,0,47.76
388,0,0,162,-162,1,100,0,323,16.375,0,0,0,0,0,0,0,0,0,0,47.746
391,45.1825,78.5,196,-39,1,100,1,78,12.365,0,0,0,0,0,0,0,0,0,0,44.671
402,28.2575,0,31.2,-31.2,1,100,1,50,6.515,0,0,0,0,0,0,0,0,0,0,38.249
404,43.25,-70.9,41.2,-183,1,78,1,81,5.5,0,0,0,0,0,0,0,0,0,0,78
422,101.75,-38.5,97,-174,1,83.96,1,193,10.5,0,0,0,0,0,0,0,0,0,0,86.25
441,143,0,143,-143,1,258.66,1,286,0,0,0,0,0,0,0,0,0,0,0,268.721
453,47.5825,0,46,-46,1,100,1,91,4.165,0,0,0,0,0,0,0,0,0,0,27.174
471,93.6675,53.5,179,-72,1,100,1,143,44.335,0,0,0,0,0,0,0,0,0,0,187.961
489,98.1575,0,88,-88,1,100,1,175,21.315,0,0,0,0,0,0,0,0,0,0,113.922
494,165,7,152,-138,1,306.24,1,275,55,0,0,0,0,0,0,0,0,0,0,256.25
494,0,0,73.33,-73.33,1,220,0,46,125,0,0,0,0,0,0,0,0,0,0,220
495,0,0,224,-224,1,225,0,448,62.5,0,0,0,0,0,0,0,0,0,0,225
495,223,0,196,-196,1,304.12,1,391,55,0,0,0,0,0,0,0,0,0,0,256.25
496,145.5,15.5,149,-118,1,274.96,1,236,55,0,0,0,0,0,0,0,0,0,0,281.25
496,177,1,149,-147,1,228.01,1,294,60,0,0,0,0,0,0,0,0,0,0,225
497,272.75,77,363,-209,1,535,1,418,127.5,0,0,0,0,0,0,0,0,0,0,535
498,308.5,51,348,-246,1,560,1,492,125,0,0,0,0,0,0,0,0,0,0,560
502,86.71,0,66,-66,1,100,1,132,41.42,0,0,0,0,0,0,0,0,0,0,147.174
504,145.485,0,127,-127,1,100,1,253,37.97,0,0,0,0,0,0,0,0,0,0,233.656
505,0,0,75,-75,1,225,0,74,64.5,0,0,0,0,0,0,0,0,0,0,225
505,0,0,75,-75,1,225,0,39,129,0,0,0,0,0,0,0,0,0,0,225
505,0,0,50,-50,1,100,0,99,37.825,0,0,0,0,0,0,0,0,0,0,90.647
514,0,0,33.33,-33.33,1,100,0,6,15.22,0,0,0,0,0,0,0,0,0,0,30.222
515,48.05,33.1,191,-124.8,1,100,1,92,4.1,0,0,0,0,0,0,0,0,0,0,74.821
516,0,0,55,-55,1,100,0,109,37.545,0,0,0,0,0,0,0,0,0,0,90.088
517,84.1525,0,82,-82,1,100,1,163,5.305,0,0,0,0,0,0,0,0,0,0,88.022
518,0,0,33.33,-33.33,1,100,0,20,42.35,0,0,0,0,0,0,0,0,0,0,57.353
519,0,0,33.33,-33.33,1,100,0,46,0.58,0,0,0,0,0,0,0,0,0,0,284
520,0,0,102,-102,1,6,0,203,0.5,0,0,0,0,0,0,0,0,0,0,258
520,0,0,42,-42,1,6,0,83,0.5,0,0,0,0,0,0,0,0,0,0,292
537,0,0,33.33,-33.33,1,100,0,37,27.43,0,0,0,0,0,0,0,0,0,0,69.858
538,58.25,1,57,-55,1,68.9,1,109,7.5,0,0,0,0,0,0,0,0,0,0,68.75
538,29.75,21,71,-29,1,77,1,58,1.5,0,0,0,0,0,0,0,0,0,0,77
544,0,0,38,-38,1,7,0,75,1.5,0,0,0,0,0,0,0,0,0,0,280
558,0,0,81,-81,1,4,0,161,1.5,0,0,0,0,0,0,0,0,0,0,297
565,48.25,-65,39,-169,1,63.02,1,78,18.5,0,0,0,0,0,0,0,0,0,0,65
565,0,0,16,-16,1,30,0,31,5,0,0,0,0,0,0,0,0,0,0,30
565,0,0,132,-132,1,105,0,264,25,0,0,0,0,0,0,0,0,0,0,105
565,64,-47,85,-179,1,105,1,103,25,0,0,0,0,0,0,0,0,0,0,105
599,209.25,0,176,-176,1,249.58,1,351,67.5,0,0,0,0,0,0,0,0,0,0,256.25
600,0,0,111,-111,1,225,0,222,55,0,0,0,0,0,0,0,0,0,0,225
603,0,0,56.67,-56.67,1,170,0,37,33,0,0,0,0,0,0,0,0,0,0,170
603,0,0,20.33,-20.33,1,61,0,8,34,0,0,0,0,0,0,0,0,0,0,61
605,0,0,32,-32,1,21,0,64,0,0,0,0,0,0,0,0,0,0,0,21
624,118.785,36.5,185,-112,1,100,1,223,14.57,0,0,0,0,0,0,0,0,0,0,96.995
627,0,0,63,-63,1,2,0,126,0.5,0,0,0,0,0,0,0,0,0,0,280
627,54.095,72.5,195,-50,1,100,1,100,8.19,0,0,0,0,0,0,0,0,0,0,48.183
630,0,0,86,-86,1,36,0,172,0,0,0,0,0,0,0,0,0,0,0,36
632,0,0,121,-121,1,3,0,241,1,0,0,0,0,0,0,0,0,0,0,295
635,0,0,90,-90,1,100,0,179,1.56,0,0,0,0,0,0,0,0,0,0,255
638,0,0,33.33,-33.33,1,100,0,17,5.13,0,0,0,0,0,0,0,0,0,0,25.259
640,0,0,33.33,-33.33,1,100,0,58,1.82,0,0,0,0,0,0,0,0,0,0,295
649,0,0,13,-13,1,6,0,26,0.5,0,0,0,0,0,0,0,0,0,0,283
651,0,0,41,-41,1,100,0,82,1.77,0,0,0,0,0,0,0,0,0,0,269
667,299,0,272,-272,1,157,1,544,54,0,0,0,0,0,0,0,0,0,0,150
668,211.5,0,212,-212,1,112,1,423,0,0,0,0,0,0,0,0,0,0,0,112
669,226.9,0,272.4,-272.4,1,100,1,389,64.8,0,0,0,0,0,0,0,0,0,0,194.4
675,193.5,0,164,-164,1,282.49,1,327,60,0,0,0,0,0,0,0,0,0,0,268.77
676,178,0,148,-148,1,281.34,1,296,60,0,0,0,0,0,0,0,0,0,0,268.75
677,141.25,0,390,-390,1,252.98,1,215,67.5,0,0,0,0,0,0,0,0,0,0,256.25
679,0,0,92,-92,1,135,0,183,-135,0,0,0,0,0,0,0,0,0,0,135
679,0,0,234,-234,1,135,0,468,-135,0,0,0,0,0,0,0,0,0,0,135
680,0,0,45,-45,1,135,0,62,-135,0,0,0,0,0,0,0,0,0,0,135
680,0,0,102,-102,1,135,0,204,-135,0,0,0,0,0,0,0,0,0,0,135
687,0,0,16.67,-16.67,1,50,0,9,38,0,0,0,0,0,0,0,0,0,0,50
687,0,0,16.67,-16.67,1,50,0,7,38,0,0,0,0,0,0,0,0,0,0,50
687,0,0,16.67,-16.67,1,50,0,16,38,0,0,0,0,0,0,0,0,0,0,50
688,0,0,16.67,-16.67,1,50,0,20,19,0,0,0,0,0,0,0,0,0,0,50
697,0,0,33.33,-33.33,1,100,0,42,0.06,0,0,0,0,0,0,0,0,0,0,262
698,124,13,120,-94,1,273.78,1,188,60,0,0,0,0,0,0,0,0,0,0,268.75
700,56.6475,0,56,-56,1,100,1,112,1.295,0,0,0,0,0,0,0,0,0,0,60.349
704,103,0,86,-86,1,160.45,1,171,35,0,0,0,0,0,0,0,0,0,0,156.25
704,106,0,89,-89,1,143.77,1,177,35,0,0,0,0,0,0,0,0,0,0,125
726,130.5,5.5,195,-184,1,42.43,1,261,0,0,0,0,0,0,0,0,0,0,0,257
727,263.9525,0,252,-252,1,100,1,503,24.905,0,0,0,0,0,0,0,0,0,0,121.921
731,0,0,134,-134,1,100,0,268,107.36,0,0,0,0,0,0,0,0,0,0,229.718
732,0,0,33.33,-33.33,1,100,0,45,16.855,0,0,0,0,0,0,0,0,0,0,48.706
736,-62.5,21.5,105,-62,1,216.55,1,75,-200,0,0,0,0,0,0,0,0,0,0,179
736,38.5,0,139,-139,1,179,1,277,-200,0,0,0,0,0,0,0,0,0,0,179
736,1.5,14,130,-102,1,179,1,203,-200,0,0,0,0,0,0,0,0,0,0,179
737,-60.5,0,405.6,-405.6,1,179,1,79,-200,0,0,0,0,0,0,0,0,0,0,179
740,0,0,74,-74,1,100,0,147,10.35,0,0,0,0,0,0,0,0,0,0,35.698
743,80.5,9.5,197,-178,1,1.3,1,161,0,0,0,0,0,0,0,0,0,0,0,278
746,30.5,2.5,176,-171,1,0.36,1,61,0,0,0,0,0,0,0,0,0,0,0,258
747,81,-45.5,75,-166,1,58.99,1,149,13,0,0,0,0,0,0,0,0,0,0,55
748,118.5,2,185,-181,1,0.24,1,237,0,0,0,0,0,0,0,0,0,0,0,257
749,11.5,12,191,-167,1,0.36,1,23,0,0,0,0,0,0,0,0,0,0,0,271
750,9.5,3,176,-170,1,1.2,1,19,0,0,0,0,0,0,0,0,0,0,0,267
751,101.5,14.5,195,-166,1,26,1,203,0,0,0,0,0,0,0,0,0,0,0,26
754,23.5,2,181,-177,1,6,1,47,0,0,0,0,0,0,0,0,0,0,0,290
755,36,-3,178,-184,1,22,1,72,0,0,0,0,0,0,0,0,0,0,0,22
757,0,0,121,-121,1,100,0,241,1.43,0,0,0,0,0,0,0,0,0,0,275
762,0,0,69,-69,1,1,0,137,0,0,0,0,0,0,0,0,0,0,0,297
763,119,4,179,-171,1,2,1,238,0,0,0,0,0,0,0,0,0,0,0,284
764,0,0,97,-97,1,100,0,193,11.905,0,0,0,0,0,0,0,0,0,0,38.808
766,62,8,198,-182,1,0.24,1,124,0,0,0,0,0,0,0,0,0,0,0,270
768,19.5,8.5,194,-177,1,1,1,39,0,0,0,0,0,0,0,0,0,0,0,262
769,24,8,190,-174,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,250
770,68.25,4.5,177,-168,1,2,1,136,0.5,0,0,0,0,0,0,0,0,0,0,266
778,96.5,7,185,-171,1,1.08,1,193,0,0,0,0,0,0,0,0,0,0,0,257
785,44.5,5,189,-179,1,0.12,1,89,0,0,0,0,0,0,0,0,0,0,0,300
788,118,-2.5,175,-180,1,50,1,236,0,0,0,0,0,0,0,0,0,0,0,50
792,28,0,176,-176,1,0.24,1,56,0,0,0,0,0,0,0,0,0,0,0,296
796,27,4.5,191,-182,1,24,1,54,0,0,0,0,0,0,0,0,0,0,0,24
797,9.5,-0.5,184,-185,1,24,1,19,0,0,0,0,0,0,0,0,0,0,0,24
801,0,0,17.33,-17.33,1,52,0,26,-69,0,0,0,0,0,0,0,0,0,0,52
801,0,0,42,-42,1,54,0,84,18.5,0,0,0,0,0,0,0,0,0,0,54
802,0,0,59,-59,1,51,0,117,-69,0,0,0,0,0,0,0,0,0,0,51
805,361.66,0,309,-309,1,100,1,617,106.32,0,0,0,0,0,0,0,0,0,0,375.274
807,278.3825,0,295.2,-295.2,1,459.6,1,415,141.765,0,0,0,0,0,0,0,0,0,0,758.026
807,303.3425,0,295.2,-295.2,1,428.4,1,466,140.685,0,0,0,0,0,0,0,0,0,0,752.367
811,0,0,33.33,-33.33,1,100,0,7,72.74,0,0,0,0,0,0,0,0,0,0,87.742
812,0,0,191,-191,1,100,0,382,39.76,0,0,0,0,0,0,0,0,0,0,94.516
815,158.75,7.5,140,-125,1,270.08,1,250,67.5,0,0,0,0,0,0,0,0,0,0,281.25
815,219.25,0,186,-186,1,246.1,1,371,67.5,0,0,0,0,0,0,0,0,0,0,256.25
816,0,0,33.33,-33.33,1,100,0,8,67.58,0,0,0,0,0,0,0,0,0,0,82.578
831,343,0,298,-298,1,461.18,1,596,90,0,0,0,0,0,0,0,0,0,0,462.5
832,174.5,28.5,187,-130,1,458.95,1,259,90,0,0,0,0,0,0,0,0,0,0,462.5
900,134.5,0.5,179,-178,1,34.76,1,269,0,0,0,0,0,0,0,0,0,0,0,256
901,43.5,10,188,-168,1,19.32,1,87,0,0,0,0,0,0,0,0,0,0,0,260
903,0,0,75,-75,1,100,0,150,24.91,0,0,0,0,0,0,0,0,0,0,64.818
904,0,0,33.33,-33.33,1,100,0,29,155.7,0,0,0,0,0,0,0,0,0,0,170.701
905,0,0,81,-81,1,100,0,162,15.555,0,0,0,0,0,0,0,0,0,0,46.109
907,170,2.5,140,-135,1,219.94,1,270,70,0,0,0,0,0,0,0,0,0,0,200
908,0,0,98,-98,1,100,0,196,49.06,0,0,0,0,0,0,0,0,0,0,113.118
912,0,0,123.33,-123.33,1,370,0,30,240,0,0,0,0,0,0,0,0,0,0,370
912,0,0,123.33,-123.33,1,370,0,89,240,0,0,0,0,0,0,0,0,0,0,370
912,197.5,26,190,-138,1,449.45,1,275,120,0,0,0,0,0,0,0,0,0,0,431.25
912,97.7025,0,76,-76,1,100,1,151,44.405,0,0,0,0,0,0,0,0,0,0,135.615
917,280.9175,0,258,-258,1,166.81,1,516,45.835,0,0,0,0,0,0,0,0,0,0,137.5
917,0,0,71,-71,1,120,0,141,50,0,0,0,0,0,0,0,0,0,0,120
918,120.4175,0,98,-98,1,166.81,1,195,45.835,0,0,0,0,0,0,0,0,0,0,137.5
920,0,0,62,-62,1,50,0,123,20,0,0,0,0,0,0,0,0,0,0,50
922,0,0,114,-114,1,232,0,228,50,0,0,0,0,0,0,0,0,0,0,232
922,195,0,173,-173,1,268.92,1,345,45,0,0,0,0,0,0,0,0,0,0,250
923,325.4025,0,317,-317,1,100,1,634,16.805,0,0,0,0,0,0,0,0,0,0,73.621
925,375,0,338,-338,1,225,1,675,75,0,0,0,0,0,0,0,0,0,0,225
926,128.5,24.5,140,-91,1,275.06,1,182,75,0,0,0,0,0,0,0,0,0,0,250
926,0,0,357,-357,1,200,0,713,75,0,0,0,0,0,0,0,0,0,0,200
926,179.8325,0,147,-147,1,234.36,1,293,66.665,0,0,0,0,0,0,0,0,0,0,200
927,306.8575,54.25,367.5,-259,1,566.05,1,447,166.715,0,0,0,0,0,0,0,0,0,0,815.177
932,653.075,0,601,-601,1,100,1,1201,105.15,0,0,0,0,0,0,0,0,0,0,914.95
933,0,0,48,-48,1,100,0,95,35.1,0,0,0,0,0,0,0,0,0,0,85.204
940,184.4675,0,168.26,-168.26,1,100,1,280,88.935,0,0,0,0,0,0,0,0,0,0,393.516
954,0,0,33.33,-33.33,1,100,0,24,19.355,0,0,0,0,0,0,0,0,0,0,53.707
955,30.2525,80.5,191,-30,1,100,1,59,1.505,0,0,0,0,0,0,0,0,0,0,28.859
959,130.25,0,127,-127,1,61.03,1,253,7.5,0,0,0,0,0,0,0,0,0,0,55
960,48.75,6,57,-45,1,68.9,1,90,7.5,0,0,0,0,0,0,0,0,0,0,68.75
960,63.25,4,71,-63,1,77,1,125,1.5,0,0,0,0,0,0,0,0,0,0,77
978,0,0,70,-70,1,100,0,139,15.495,0,0,0,0,0,0,0,0,0,0,45.994
982,0,0,40,-40,1,120,0,23,100,0,0,0,0,0,0,0,0,0,0,120
982,180.9175,0,158,-158,1,150.3,1,316,45.835,0,0,0,0,0,0,0,0,0,0,137.5
994,131.75,0,128,-128,1,84.01,1,256,7.5,0,0,0,0,0,0,0,0,0,0,62.5
994,0,0,33.33,-33.33,1,100,0,0,55,0,0,0,0,0,0,0,0,0,0,100
995,0,0,52,-52,1,106,0,103,35,0,0,0,0,0,0,0,0,0,0,106
1000,0,0,123,-123,1,3,0,245,1,0,0,0,0,0,0,0,0,0,0,287
1002,31.29,0,24,-24,1,100,1,47,15.58,0,0,0,0,0,0,0,0,0,0,57.179
1008,0,0,27,-27,1,4,0,53,1.5,0,0,0,0,0,0,0,0,0,0,291
1016,0,0,33.33,-33.33,1,100,0,52,7.795,0,0,0,0,0,0,0,0,0,0,30.593
1018,121,-35.5,111,-182,1,61.7,1,222,20,0,0,0,0,0,0,0,0,0,0,62.5
1018,56.25,-65,48,-178,1,55,1,95,17.5,0,0,0,0,0,0,0,0,0,0,55
1019,0,0,16.67,-16.67,1,50,0,3,35,0,0,0,0,0,0,0,0,0,0,50
1019,31.6675,-71.5,28,-171,1,28,1,55,8.335,0,0,0,0,0,0,0,0,0,0,35
1029,73.1,0,73,-73,1,100,1,145,1.2,0,0,0,0,0,0,0,0,0,0,266
1036,0,0,153,-153,1,200,0,305,75,0,0,0,0,0,0,0,0,0,0,200
1037,173,0,136,-136,1,253.76,1,271,75,0,0,0,0,0,0,0,0,0,0,200
